"name","base_location","base_country","base_classification","location_precision","investment_focus","stage_focus","geographic_investment_focus","linkedin_profile_url","public_contact_email","public_contact_email_source_url","primary_focus_source_url","notes","current_company_or_firm","company_website","company_source","website_type"
"Vijay Pravin Maharajan","Munich, Bayern, Germany","Germany","Diaspora / outside Africa","exact_public","Blockchain, Internet of Things, Software","Seed, Pre-Seed, Series A","India, United States, Panama","https://www.linkedin.com/in/vijaypravin","","","https://shizune.co/investors/blockchain-angel-investors-africa","","","https://vijaypravin.io/","","public_website"
"Vijay Shankar","Sydney, New South Wales, Australia","Australia","Diaspora / outside Africa","exact_public","FinTech, Software, Financial Services","Seed, Series A, Series C","United States, India, United Kingdom","https://www.linkedin.com/in/vshankar90","","","https://shizune.co/investors/b2b-angel-investors-africa","","Freshworks","https://www.freshworks.com/","Official linked site metadata","company_or_firm_site"
"Vikram Chopra","Gurgaon, Haryana, India · 2 investments in the past 12 months","India","Diaspora / outside Africa","exact_public","Internet, E-Commerce, Fashion","Seed, Series B","India, South Africa","https://www.linkedin.com/in/vikram6","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Vinny Lingham","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","Blockchain, Internet, Cryptocurrency","Seed, Funding Round, Angel","United States, South Africa, United Kingdom","http://www.linkedin.com/in/vinnylingham","","","https://shizune.co/investors/angel-investors-south-africa","","","http://www.vinnylingham.com","","public_website"
"Vishal Agarwal","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Finance","Seed, Pre-Seed","Nigeria, South Africa","https://www.linkedin.com/in/vishalagarwal82","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Vlad Tenev","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","Artificial Intelligence, Financial Services, Software","Seed, Series A, Series B","United States, India, Tanzania","https://www.linkedin.com/in/vlad-tenev-7037591b","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Walid Aradi","Dubai, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","inferred_public","Information Technology, Internet, Financial Services, Software, Transportation, IT","Seed, Angel, Series A","India, Nigeria, Pakistan","https://www.linkedin.com/in/walidaradi","","","https://shizune.co/investors/angel-investors-nigeria","","","https://www.tahseen.ae","","public_website"
"Wassim Jouini","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Apps, Software, Communities","Seed","Tunisia","https://www.linkedin.com/in/wassim-jouini-b9695640","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Wayne Gosling","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Rental, Internet, Analytics","Seed, Angel","South Africa, United Kingdom","https://za.linkedin.com/in/wayne-gosling-74241a14","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Wayne Stocks","","","Unresolved","unresolved","Biotechnology, AgTech, FinTech","Seed, Grant, Funding Round","South Africa","https://www.linkedin.com/in/wayne-stocks-1919a14","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Wemimo Abbey","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","SaaS, Legal, Advice","Funding Round, Seed","Nigeria, United States, United Kingdom","https://www.linkedin.com/in/wemimo-abbey-62382a2a","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Wes Schwalje","","","Unresolved","unresolved","FinTech, Information Technology, Financial Services, Software, Commerce/Shopping, Transportation","Seed, Pre-Seed, Angel","India, United States, Mexico","https://www.linkedin.com/in/wesschwalje","","","https://shizune.co/investors/angel-investors-algeria","","","","",""
"Will Herman","Boston, Massachusetts, United States","United States","Diaspora / outside Africa","exact_public","Software, Mobile, Enterprise Software","Seed, Series A, Convertible Note","United States, South Africa, United Kingdom","http://www.linkedin.com/in/willherman","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","","",""
"Will Neale","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Software","Seed, Pre-Seed, Funding Round","United Kingdom, Italy, Japan","http://www.linkedin.com/in/willn","","","https://shizune.co/investors/payments-angel-investors-africa","","","","",""
"Will Sternlicht","","","Unresolved","unresolved","Marketing, Digital Marketing, Social Media Management","Seed","Ghana","https://uk.linkedin.com/in/william-sternlicht","","","https://shizune.co/investors/angel-investors-ghana","","","","",""
"Wissam Otaky","Miami, Florida, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Payments, Point of Sale","Seed","South Africa","https://www.linkedin.com/in/wissamotakypublicprofile","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","Hatcher+","https://hq.hatcher.com/","Official linked site metadata","company_or_firm_site"
"Yago Arbeloa","Madrid, Madrid, Spain","Spain","Diaspora / outside Africa","exact_public","E-Commerce, Apps, Internet","Seed, Angel, Convertible Note","Spain, United States, Kenya","https://www.linkedin.com/in/arbeloa","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Yaser Alghamdi","Riyadh, Ar Riyad, Saudi Arabia","Saudi Arabia","Diaspora / outside Africa","exact_public","Financial Services, Information Technology, Retail","Pre-Seed, Seed","Egypt, Pakistan, Saudi Arabia","https://www.linkedin.com/in/yaser-saeed-alghamdi-b7578756","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
"Yemi Osindero","","","Unresolved","unresolved","PaaS, Information Services, Information Technology","Pre-Seed","Nigeria","https://www.linkedin.com/in/yemi-osindero-a80b2","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Yossi Hasson","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Financial Services, Blockchain, Payments","Seed, Pre-Seed, Series A","South Africa, United States, Ghana","https://www.linkedin.com/in/yossi-hasson-a64b415","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Youcef Es-skouri","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Financial Services, FinTech, IT, Financial","Seed, Pre-Seed, Series A, Funding Round","United States, France, Nigeria","https://www.linkedin.com/in/youcefhq","","","https://shizune.co/investors/angel-investors-mauritius","","Cef.im","https://cef.im/","Official linked site metadata","company_or_firm_site"
"Youcef Oudjidane","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Payments","Seed, Pre-Seed, Series A","United States, Nigeria, United Kingdom","https://www.linkedin.com/in/youcef-oudjidane-78886345","","","https://shizune.co/investors/angel-investors-morocco","","","https://www.oudji.com","","public_website"
"Youssri Helmy","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","Artificial Intelligence, FinTech, Finance","Seed, Series A","United States, Egypt","http://www.linkedin.com/in/helmyy","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Yuri Milner","Los Altos Hills, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Financial Services, E-Commerce","Seed, Series B, Series A","United States, China, United Kingdom","http://ru.linkedin.com/pub/yuri-milner/10/b59/3b2/en","","","https://shizune.co/investors/angel-investors-kenya","","","https://yurimilner.com/","","personal_site"
"Yuzuru Honda","","","Unresolved","unresolved","SNS, Internet, Information Technology, Software, Professional Services, Media and Entertainment","Seed, Angel, Funding Round","Japan, Nigeria, Singapore","http://www.linkedin.com/pub/yuzuru-honda/b/424/726","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Zach Lipson","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Finance, Financial Services","Seed","Nigeria","https://www.linkedin.com/in/zachlipson","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
